,arterial_thromb,myocardial_infarct,pe,stroke,vte,dic
184,c0027498_nausea_and_vomiting,c0022860_labetalol,c0029053_decreased_translucency,c0035067_renal_artery_stenosis,c0023911_transplantation_of_liver,c0021368_inflammation
185,c0027543_avascular_necrosis,c0022877_laboratory,c0029443_osteomyelitis,c0035139_surgical_replantation,c0024091_bone_structure_of_lumbar_vertebra,c0021708_intensive_care_unit
186,c0027551_needle_device,c0023380_lethargy,c0029921_outpatients,c0035273_resuscitation_procedure,c0024103_breast_lump,c0021843_bowel_obstruction
187,c0027651_neoplasm,c0023508_white_blood_cell_count_procedure,c0029983_oxacillin,c0035647_risk,c0024204_lymph_nodes,c0021843_intestinal_obstruction
188,c0027651_neoplasms,c0023516_leukocytes,c0030049_oxycodone,c0035648_risk_factors,c0024299_lymphoma,"c0021852_intestines,_small"
189,c0027853_neurologic_examination,c0023518_high_white_blood_count,c0030054_oxygen,c0036082_saline_solution,c0024858_maryland_(geographic_location),c0021925_intubation
190,c0028643_numbness,c0023530_decreased_blood_leukocyte_number,c0030193_pain,c0036572_seizure,c0025066_mediastinum,c0022346_icterus
191,c0028661_nurses,c0023660_lidocaine,c0030196_limb_pain,c0036572_seizures,c0025202_malignant_melanoma,c0022346_jaundice
192,c0028778_obstruction,c0024103_breast_lump,c0030247_palpation,c0037494_sodium_chloride,c0025474_mesentery,c0022646_kidney
193,c0028961_oliguria,c0024117_chronic_obstructive_airway_disease,c0030252_heart_palpitations,c0037633_solutions,c0025872_metronidazole,c0022660_acute_kidney_failure
194,c0028978_omeprazole,c0024117_copd,c0030252_palpitations,c0037817_speech,c0025942_miconazole,"c0022660_kidney_failure,_acute"
195,c0029064_operating_room,c0024467_magnesium,c0030274_pancreas,c0037949_vertebral_column,c0026264_mitral_valve,"c0022661_kidney_failure,_chronic"
196,c0029443_osteomyelitis,c0024858_maryland_(geographic_location),c0030299_pancreatic_pseudocyst,c0037998_splenic_infarction,c0026591_mother_(person),c0022671_kidney_transplantation
197,c0029453_osteopenia,c0024957_maxillary_sinus,c0030304_pancreatin,c0038179_starch,c0026649_movement,c0022957_lactulose
198,c0029983_oxacillin,c0025066_mediastinum,c0030305_pancreatitis,c0038454_cerebrovascular_accident,c0026650_unusual_movement,c0023226_legal_guardians
199,c0030049_oxycodone,c0025222_melena,c0030312_pancytopenia,c0038454_stroke,c0026724_mucous_membrane,c0023418_leukemia
200,c0030193_pain,c0025474_mesentery,c0030346_papain,c0038532_structure_of_subclavian_vein,c0027302_nadolol,c0023465_acute_monocytic_leukemia
201,c0030196_limb_pain,c0025859_metoprolol,c0030685_patient_discharge,c0038663_suicide_attempt,c0027361_persons,c0023467_acute_myelogenous_leukemia
202,"c0030201_pain,_postoperative",c0026266_mitral_regurgitation,c0030797_pelvis,c0038846_supine_position,c0027429_nasal_obstruction,"c0023467_leukemia,_myelocytic,_acute"
203,c0030232_pallor,c0026266_mitral_valve_insufficiency,c0030827_penicillin_g,c0039005_family_suidae,c0027498_nausea_and_vomiting,c0023487_acute_promyelocytic_leukemia
204,c0030247_palpation,c0026267_mitral_valve_prolapse,c0030842_penicillins,c0039485_temporal_lobe,c0027530_neck,c0023508_white_blood_cell_count_procedure
205,c0030304_pancreatin,c0026267_mitral_valve_prolapse_syndrome,c0031039_fluid_around_heart,c0039840_thiamine,c0027551_needle_device,c0023516_leukocytes
206,c0030305_pancreatitis,c0026516_mood_(psychological_function),c0031050_pericardial_sac_structure,c0039985_plain_chest_x-ray,c0027651_neoplasm,c0023518_high_white_blood_count
207,c0030312_pancytopenia,c0026549_morphine,c0032225_pleura,c0040018_thrombin,c0027651_neoplasms,c0023518_leukocytosis
208,c0030346_papain,c0026597_motion,c0032227_pleural_effusion,c0040034_thrombocytopenia,c0027853_neurologic_examination,c0023530_decreased_blood_leukocyte_number
209,c0030797_pelvis,c0026639_oral_mucous_membrane_structure,c0032227_pleural_effusion_disorder,c0040038_thromboembolic_disease,c0027855_neurology_speciality,c0023764_lipase
210,c0030827_penicillin_g,c0026724_mucous_membrane,c0032230_pleural_rub,c0040137_thyroid_nodule,c0027858_nerve_tumor,c0023884_liver
211,c0030842_penicillins,c0026847_spinal_muscular_atrophy,c0032285_pneumonia,c0040357_toes,c0028259_nodule,c0023890_cirrhosis
212,c0030920_peptic_ulcer,c0027051_heart_attack,c0032320_pneumoperitoneum,c0040485_torticollis,c0028643_numbness,c0023890_liver_cirrhosis
213,c0031001_perfusion_(procedure),c0027051_myocardial_infarction,c0032326_collapsed_lung,c0040822_tremor,c0028661_nurses,c0023899_liver_extract
214,c0032181_platelet_count_measurement,c0027497_nausea,c0032541_polyneuritis,c0040822_tremors,c0028688_nursing_homes,c0023901_liver_function_tests
215,c0032227_pleural_effusion,c0027524_nebulizers,c0032652_structure_of_popliteal_vein,c0040961_tricuspid_valve_regurgitation,c0028754_obesity,c0023911_transplantation_of_liver
216,c0032227_pleural_effusion_disorder,c0027543_avascular_necrosis,c0032952_prednisone,c0041281_tube_feeding_of_patient,c0028778_obstruction,c0024103_breast_lump
217,c0032320_pneumoperitoneum,c0028429_nose,c0033213_problem,c0041618_ultrasonography,c0028785_occipital_lobe,c0024117_chronic_obstructive_airway_disease
218,c0032326_collapsed_lung,c0028688_nursing_homes,c0033572_prostate,c0042029_urinary_tract_infection,c0028978_omeprazole,c0024117_copd
219,c0032649_structure_of_popliteal_artery,c0028778_obstruction,c0034052_pulmonary_artery_structure,c0042149_uterus,c0029053_decreased_translucency,c0024204_lymph_nodes
220,c0032718_portal_vein_structure,c0028912_ointments,c0034065_blood_clot_in_artery_of_lung,c0042313_vancomycin,c0029163_oral_bleeding,c0024299_lymphoma
221,c0032790_postoperative_period,c0029064_operating_room,c0034065_pulmonary_embolism,c0042384_vasculitis,c0029180_ocular_orbit,c0024467_magnesium
222,c0032952_prednisone,c0029921_outpatients,c0034067_pulmonary_emphysema,c0042523_verapamil,c0029921_outpatients,c0024957_maxillary_sinus
223,c0033487_propofol,c0030193_pain,c0034074_pulmonary_infarction,c0042559_structure_of_vertebral_artery,c0030049_oxycodone,c0025222_melena
224,c0033572_prostate,c0030232_pallor,c0034079_nodule_of_lung,c0042789_vision,"c0030201_pain,_postoperative",c0025289_meningitis
225,c0034015_symphysis_pubis_structure,c0030252_heart_palpitations,c0034519_electromagnetic_radiation,c0042826_visual_fields,c0030247_palpation,c0025344_menstruation
226,c0034067_pulmonary_emphysema,c0030252_palpitations,c0034599_radiology_specialty,c0042849_vitamin_b_complex,c0030304_pancreatin,c0025467_mesenteric_cyst
227,c0034599_radiology_specialty,c0030346_papain,c0034642_crepitations,c0042866_vitamin_d,c0030305_pancreatitis,c0025474_mesentery
228,c0034871_postoperative_anesthesia_care_unit_(pacu),c0030471_nasal_sinus,c0034896_rectum,c0043031_warfarin,c0030827_penicillin_g,c0025872_metronidazole
229,c0034896_rectum,c0030685_patient_discharge,c0034991_rehabilitation_therapy,c0043047_water,c0031001_perfusion_(procedure),c0025942_miconazole
230,c0035065_structure_of_renal_artery,c0030705_patients,c0035092_structure_of_renal_vein,c0043157_caucasians,c0031039_fluid_around_heart,c0026078_midodrine
231,c0035078_renal_failure,c0031039_fluid_around_heart,c0035203_respiration,c0043210_woman,c0031256_petechiae,c0026267_mitral_valve_prolapse
232,c0035139_surgical_replantation,c0031469_phenylephrine,c0035359_retroperitoneal_space,c0074554_simvastatin,c0031507_phenytoin,c0026267_mitral_valve_prolapse_syndrome
233,c0035253_rest,c0032230_pleural_rub,c0035508_rhonchi,c0079595_imaging_techniques,c0031809_physical_examination,c0026549_morphine
234,c0035273_resuscitation_procedure,c0032290_aspiration_pneumonia,c0035528_riboflavin_deficiency,c0080322_branchial_arch_structure,c0032225_pleura,c0026591_mother_(person)
235,c0035357_retroperitoneal_fibrosis,c0032320_pneumoperitoneum,c0035647_risk,c0082607_fluticasone,c0032285_pneumonia,c0026649_movement
236,c0035359_retroperitoneal_space,c0032461_abnormally_shaped_erythrocytes,c0036186_saphenous_vein,c0085207_maternal_diabetes,c0032290_aspiration_pneumonia,c0026650_unusual_movement
237,c0035528_riboflavin_deficiency,c0032790_postoperative_period,c0036439_scoliosis,c0085542_pravastatin,c0032326_collapsed_lung,c0026724_mucous_membrane
238,c0036082_saline_solution,c0032821_kalium,c0036525_metastatic_to,c0085631_agitation,c0032541_polyneuritis,c0026766_multiple_organ_failure
239,c0036186_saphenous_vein,c0032825_potassium_chloride,c0036690_infection_in_blood_stream,c0085678_nasogastric_tube,c0032639_pontine_structure,c0026847_spinal_muscular_atrophy
240,c0036572_seizure,c0032861_powder_dose_form,c0037011_shoulder_pain,"c0085808_aneurysm,_mycotic",c0032652_structure_of_popliteal_vein,c0027324_nafcillin
241,c0036572_seizures,c0032952_prednisone,c0037287_growth_of_abnormal_tissue_on_or_under_the_skin,c0087086_thrombus,c0032718_portal_vein_structure,c0027361_persons
242,c0037494_sodium_chloride,c0033095_pressure-_physical_agent,c0037320_night_terror,c0144544_tartrate,c0034115_paracentesis,c0027429_nasal_obstruction
243,c0037579_soft_tissue_neoplasm,c0033131_primary_care_physicians,c0037473_sodium,c0149561_structure_of_anterior_cerebral_artery,c0034602_interventional_radiology,c0027498_nausea_and_vomiting
244,c0037633_solutions,c0033487_propofol,c0037494_sodium_chloride,c0149566_structure_of_middle_cerebral_artery,c0034896_rectum,c0027524_nebulizers
245,c0037993_spleen,c0033572_prostate,c0037579_soft_tissue_neoplasm,c0149576_structure_of_posterior_cerebral_artery,c0034929_reflex_action,c0027530_neck
246,c0037996_structure_of_splenic_artery,c0034063_pulmonary_edema,c0037633_solutions,c0149721_left_ventricular_wall_hypertrophy,c0034991_rehabilitation_therapy,c0027551_needle_device
247,c0037998_splenic_infarction,c0034063_wet_lung,c0037885_sphenoidal_sinus,c0151206_scalp_hypersensitivity,c0035092_structure_of_renal_vein,c0027651_neoplasm
248,c0038160_staphylococcal_infections,c0034067_pulmonary_emphysema,c0037926_pressure_on_spinal_cord,c0151583_abnormality_of_the_cerebrospinal_fluid,c0035139_surgical_replantation,c0027651_neoplasms
249,c0038179_starch,c0034094_pulmonary_wedge_pressure,c0037949_vertebral_column,c0151603_anasarca,c0035357_retroperitoneal_fibrosis,c0028351_norepinephrine
250,"c0038257_stent,_device",c0034642_crepitations,c0037993_spleen,c0151611_eeg_abnormality,c0035359_retroperitoneal_space,c0028661_nurses
251,c0038532_structure_of_subclavian_vein,c0034665_ranitidine,c0038056_sputum,c0151699_intracranial_hemorrhage,c0035528_riboflavin_deficiency,c0028833_octreotide
252,c0038663_suicide_attempt,c0034896_rectum,c0038160_staphylococcal_infections,c0151740_intracranial_pressure_elevation,c0035647_risk,c0028961_oliguria
253,c0038826_superinfection,c0035065_structure_of_renal_artery,c0038172_staphylococcus_aureus,c0152054_therapeutic_tactile_stimulation,c0035648_risk_factors,c0029064_operating_room
254,c0039005_family_suidae,c0035067_renal_artery_stenosis,c0038317_steroids,c0152060_transection_(procedure),c0036082_saline_solution,c0029443_osteomyelitis
255,c0039142_syringes,c0035078_renal_failure,c0038525_subarachnoid_hemorrhage,c0152424_common_ventricle,c0036534_secretin,c0029453_osteopenia
256,c0039144_syringomyelia,c0035203_respiration,c0038532_structure_of_subclavian_vein,c0159054_abnormal_sputum_morphology,c0036537_bodily_secretions,c0029923_ovalbumin
257,c0039866_thigh_structure,c0035253_rest,c0038638_suction_drainage,c0162340_comprehension,c0036572_seizure,"c0030201_pain,_postoperative"
258,c0039985_plain_chest_x-ray,c0035357_retroperitoneal_fibrosis,c0039005_family_suidae,c0162429_malnutrition,c0036572_seizures,c0030247_palpation
259,c0040018_thrombin,c0035359_retroperitoneal_space,c0039070_syncope,c0162859_common_carotid_artery,c0037287_growth_of_abnormal_tissue_on_or_under_the_skin,c0030304_pancreatin
260,c0040038_thromboembolic_disease,c0035508_rhonchi,c0039142_syringes,c0162871_abdominal_aortic_aneurysm,c0037473_sodium,c0030312_pancytopenia
261,c0040053_thrombosis,c0036186_saphenous_vein,c0039144_syringomyelia,"c0162871_aortic_aneurysm,_abdominal",c0037494_sodium_chloride,c0030471_nasal_sinus
262,c0040184_bone_structure_of_tibia,c0036410_sclera,c0039225_tablet_dosage_form,c0175722_clip,c0037633_solutions,c0030705_patients
263,c0040223_time,c0036439_scoliosis,c0039231_heart_racing,c0176751_percutaneous_endoscopic_gastrostomy,c0037817_speech,c0030797_pelvis
264,c0040300_body_tissue,"c0036439_scoliosis,_unspecified",c0039231_tachycardia,c0178587_density,c0037926_pressure_on_spinal_cord,c0030827_penicillin_g
265,c0040357_toes,c0036534_secretin,c0039239_sinus_tachy,c0179740_peripherally_inserted_central_catheter_(physical_object),c0037949_vertebral_column,c0030842_penicillins
266,c0040578_trachea,c0036537_bodily_secretions,c0039239_sinus_tachycardia,"c0179804_catheter,_foley",c0037982_spironolactone,c0031039_fluid_around_heart
267,c0040953_hair-pulling,c0036690_infection_in_blood_stream,c0039985_plain_chest_x-ray,c0184661_interventional_procedure,c0038001_structure_of_splenic_vein,c0031469_phenylephrine
268,c0041582_ulcer,c0036974_shock,c0040165_levothyroxine,c0184666_hospital_admission,c0038002_splenomegaly,c0031831_physicians
269,c0041834_erythema,c0036980_cardiovascular_shock,c0040184_bone_structure_of_tibia,c0184906_bifurcation_(procedure),c0038454_cerebrovascular_accident,c0032105_plasma
270,c0042034_urination,"c0036980_shock,_cardiogenic",c0040223_time,c0185792_sternotomy_(procedure),c0038454_stroke,c0032181_platelet_count_measurement
271,c0042149_uterus,c0036983_septic_shock,c0040405_x-ray_computed_tomography,c0195897_craniectomy,c0038525_subarachnoid_haemorrhage,c0032225_pleura
272,c0042313_vancomycin,c0037011_shoulder_pain,c0040578_trachea,c0199168_medical_service,c0038525_subarachnoid_hemorrhage,c0032227_pleural_effusion
273,c0042384_vasculitis,c0037320_night_terror,c0040610_tramadol,c0200949_blood_culture,c0038532_structure_of_subclavian_vein,c0032227_pleural_effusion_disorder
274,c0042396_vascular_constriction_(function),c0037579_soft_tissue_neoplasm,c0040961_tricuspid_valve_insufficiency,c0205064_cervical,c0038826_superinfection,c0032230_pleural_rub
275,c0042449_veins,c0037885_sphenoidal_sinus,c0040961_tricuspid_valve_regurgitation,c0205090_right,c0038846_supine_position,c0032326_collapsed_lung
276,c0042487_venous_thrombosis,c0038160_staphylococcal_infections,c0041281_tube_feeding_of_patient,c0205091_left,c0039005_family_suidae,c0032461_abnormally_shaped_erythrocytes
277,c0042523_verapamil,c0038172_staphylococcus_aureus,c0041327_pulmonary_tb,c0205093_lateral,c0039155_systole,c0032541_polyneuritis
278,c0042866_vitamin_d,"c0038257_stent,_device",c0041349_interstitial_nephritis,c0205094_anterior,c0039239_sinus_tachycardia,c0032718_portal_vein_structure
279,c0043031_warfarin,c0038293_sternum,c0041618_ultrasonography,c0205099_central,c0040038_thromboembolic_disease,c0032743_positron-emission_tomography
280,c0043047_water,c0038435_stress,c0041657_passing_out,c0205102_internal,c0040053_thrombosis,c0032790_postoperative_period
281,c0043157_caucasians,c0038525_subarachnoid_haemorrhage,c0042149_uterus,c0205104_downward,c0040137_thyroid_nodule,c0032821_kalium
282,c0043240_wound_healing,c0038525_subarachnoid_hemorrhage,c0042313_vancomycin,c0205107_proximal,c0040485_torticollis,c0032952_prednisone
283,c0043250_injury_wounds,c0038826_superinfection,c0042384_vasculitis,c0205108_distal,c0040578_trachea,c0033706_coagulation_factor_ii
284,c0048470_argatroban,c0038846_supine_position,c0042449_veins,c0205123_coronal_(qualifier_value),c0040610_tramadol,c0033809_pseudomonas_aeruginosa
285,c0054836_carvedilol,c0039003_swimming,c0042458_inferior_vena_cava_structure,c0205131_axial,c0040822_tremor,c0034015_symphysis_pubis_structure
286,c0055003_cefepime,c0039070_syncope,c0042459_superior_vena_cava_structure,c0205144_junctional,c0040822_tremors,c0034115_paracentesis
287,c0060926_gabapentin,c0039155_systole,c0042849_vitamin_b_complex,c0205146_area,c0041281_tube_feeding_of_patient,c0034186_pyelonephritis
288,c0066005_meropenem,c0039226_delayed_release_oral_tablet,c0042866_vitamin_d,c0205201_cavernous,c0041618_ultrasonography,c0034599_radiology_specialty
289,c0066052_metanil_yellow,c0039231_heart_racing,c0043031_warfarin,c0205210_clinical,c0041984_uridine,c0034602_interventional_radiology
290,c0074393_sertraline,c0039231_tachycardia,c0043047_water,c0205214_common_(qualifier_value),c0042029_urinary_tract_infection,c0034665_ranitidine
291,c0074554_simvastatin,c0039239_sinus_tachy,c0043144_wheezing,c0205234_focal,c0042034_urination,c0034896_rectum
292,c0079304_esophagogastroduodenoscopy,c0039840_thiamine,c0043227_work,c0205246_generalized,c0042036_urine,c0035065_structure_of_renal_artery
293,c0079595_imaging_techniques,c0040018_thrombin,c0048470_argatroban,c0205250_high,c0042313_vancomycin,c0035078_renal_failure
294,c0080322_branchial_arch_structure,c0040132_thyroid_gland,c0052796_azithromycin,c0205266_intact,c0042345_varicosity,c0035139_surgical_replantation
295,c0080331_walking_(activity),c0040165_levothyroxine,c0055003_cefepime,c0205269_unresponsive_to_treatment,c0042396_vascular_constriction_(function),c0035203_respiration
296,c0085096_peripheral_vascular_disease,c0040578_trachea,c0060282_ferrous_sulfate,c0205271_irregular,c0042449_veins,"c0035222_respiratory_distress_syndrome,_adult"
297,c0085096_peripheral_vascular_diseases,c0040610_tramadol,c0078839_zolpidem,c0205329_worsens_with_time,c0042458_inferior_vena_cava_structure,c0035273_resuscitation_procedure
298,c0085584_encephalopathies,c0041199_troponin,c0080331_walking_(activity),c0205341_repeat,c0042459_superior_vena_cava_structure,c0035357_retroperitoneal_fibrosis
299,c0085584_encephalopathy,c0041349_interstitial_nephritis,c0082607_fluticasone,c0205358_soft,c0042487_venous_thrombosis,c0035359_retroperitoneal_space
300,c0085590_catheter_device,c0041582_ulcer,c0085590_catheter_device,c0205359_spontaneous,c0042523_verapamil,c0035528_riboflavin_deficiency
301,c0085593_chills,c0041834_erythema,c0085593_chills,c0205365_subacute,c0042559_structure_of_vertebral_artery,c0036082_saline_solution
302,c0085605_hepatic_failure,c0042510_ventricular_fibrillation,c0085633_emotional_instability,c0205396_identified,c0042789_vision,c0036690_infection_in_blood_stream
303,c0085605_liver_failure,"c0042514_tachycardia,_ventricular",c0085639_falls,c0205410_sufficient,c0042866_vitamin_d,c0036974_shock
304,c0085616_vascular_spasm,c0042514_ventricular_tachycardia,c0086787_percocet,c0205411_adequate,c0042963_throwing_up,c0036980_cardiovascular_shock
305,c0085704_exploratory_laparotomy,c0043084_weaning,c0087086_thrombus,c0205413_patchy_distribution,c0043031_warfarin,"c0036980_shock,_cardiogenic"
306,"c0085808_aneurysm,_mycotic",c0043094_weight_gain,c0144544_tartrate,c0205494_neurologic_(qualifier_value),c0043047_water,c0036983_septic_shock
307,c0085816_structure_of_anterior_tibial_artery,c0043100_weight,c0149651_clubbing,c0221099_impaired,c0043144_wheezing,c0037011_shoulder_pain
308,c0086787_percocet,c0043144_wheezing,c0149651_clubbing_of_fingers_and_toes,c0225452_right_maxillary_sinus_structure,c0043210_woman,c0037579_soft_tissue_neoplasm
309,c0086835_structure_of_posterior_tibial_artery,c0043157_caucasians,c0149871_deep_vein_thrombosis,c0225594_structure_of_carina,c0055003_cefepime,c0037885_sphenoidal_sinus
310,c0087086_thrombus,c0043240_wound_healing,c0149871_deep_venous_thrombosis,c0225860_left_atrial_structure,c0057144_daptomycin,c0037949_vertebral_column
311,c0128513_milrinone,c0043250_injury_wounds,c0150411_analysis_of_arterial_blood_gases_and_ph,c0225897_left_ventricular_structure,c0060282_ferrous_sulfate,c0037993_spleen
312,c0144544_tartrate,c0052796_azithromycin,c0151206_scalp_hypersensitivity,c0226156_structure_of_right_internal_carotid_artery,c0060926_gabapentin,c0037998_splenic_infarction
313,c0149745_mouth_ulcer,c0054836_carvedilol,c0151699_intracranial_hemorrhage,c0226157_structure_of_left_internal_carotid_artery,c0066005_meropenem,c0038001_structure_of_splenic_vein
314,c0150055_chronic_pain,c0060282_ferrous_sulfate,c0151740_intracranial_pressure_elevation,c0226213_structure_of_right_middle_cerebral_artery,c0074393_sertraline,c0038002_splenomegaly
315,c0151206_scalp_hypersensitivity,c0065374_lisinopril,c0159054_abnormal_sputum_morphology,c0226214_structure_of_left_middle_cerebral_artery,c0074554_simvastatin,c0038056_sputum
316,c0151603_anasarca,c0070166_clopidogrel,c0159060_abnormal_bowel_sounds,c0226230_structure_of_right_vertebral_artery,c0079304_esophagogastroduodenoscopy,c0038172_staphylococcus_aureus
317,c0151740_intracranial_pressure_elevation,c0074393_sertraline,c0175668_secondary_to,c0226231_structure_of_left_vertebral_artery,c0079595_imaging_techniques,c0038317_steroids
318,c0151908_dry_skin,c0080310_left_ventricular_function,c0178499_base,c0226262_structure_of_left_subclavian_artery,c0080322_branchial_arch_structure,c0038532_structure_of_subclavian_vein
319,c0151942_blood_clot_in_artery,c0085089_morphologic_artifacts,c0178602_dosage,c0226801_structure_of_basilic_vein,c0085542_pravastatin,c0038846_supine_position
320,c0152424_common_ventricle,c0085096_peripheral_vascular_disease,c0179740_peripherally_inserted_central_catheter_(physical_object),c0227230_body_of_stomach,c0085584_encephalopathies,c0039155_systole
321,c0162297_respiratory_arrest,c0085096_peripheral_vascular_diseases,"c0179804_catheter,_foley",c0227614_left_kidney,c0085584_encephalopathy,c0039239_sinus_tachy
322,c0162429_malnutrition,c0085207_maternal_diabetes,c0181904_monitor_device,c0228160_right_lateral_ventricle_structure,c0085590_catheter_device,c0039985_plain_chest_x-ray
323,c0162575_embolectomy,c0085532_coronary_angiography,c0184511_improved,c0228161_left_lateral_ventricle_structure,c0085593_chills,c0040034_thrombocytopenia
324,c0162577_angioplasty,c0085542_pravastatin,c0184661_interventional_procedure,c0228175_right_cerebral_hemisphere,c0085605_hepatic_failure,c0040038_thromboembolic_disease
325,c0162578_thrombectomy,c0085590_catheter_device,c0185115_extraction,c0228176_left_cerebral_hemisphere,c0085605_liver_failure,c0040046_thrombophlebitis
326,c0162861_superior_mesenteric_artery_structure,c0085619_orthopnea,c0199176_prophylactic_treatment,c0228193_right_frontal_lobe_structure,c0085616_vascular_spasm,c0040053_thrombosis
327,c0162871_abdominal_aortic_aneurysm,c0085623_akinesia,c0200949_blood_culture,c0228194_left_frontal_lobe_structure,c0085631_agitation,c0040223_time
328,"c0162871_aortic_aneurysm,_abdominal",c0085633_emotional_instability,c0205064_cervical,c0228208_left_parietal_lobe_structure,c0085633_emotional_instability,c0040300_body_tissue
329,c0175566_open,c0085639_falls,c0205090_right,c0228218_right_occipital_lobe_structure,c0085649_peripheral_edema,c0040357_toes
330,c0175668_secondary_to,c0086439_decreased_spontaneous_movement,c0205091_left,c0228465_cerebellar_hemisphere_structure,c0085678_nasogastric_tube,c0040485_torticollis
331,c0175722_clip,c0086439_hypokinesia,c0205100_peripheral,c0230346_right_upper_arm_structure,c0086418_homo_sapiens,c0040961_tricuspid_valve_regurgitation
332,c0176751_percutaneous_endoscopic_gastrostomy,c0086787_percocet,c0205101_extrinsic,c0230347_left_upper_arm_structure,c0086582_males,c0041281_tube_feeding_of_patient
333,c0178587_density,c0087153_ventilator_-_respiratory_equipment,c0205104_downward,c0231242_complicated,c0087086_thrombus,c0041618_ultrasonography
334,c0178602_dosage,c0126174_losartan,c0205117_adjacent,c0231749_knee_pain,c0144544_tartrate,c0041834_erythema
335,c0179740_peripherally_inserted_central_catheter_(physical_object),c0128513_milrinone,c0205122_segmental,c0231835_tachypnea,c0149566_structure_of_middle_cerebral_artery,c0041984_uridine
336,c0179790_pulmonary_artery_flotation_catheter,c0144544_tartrate,c0205123_coronal_(qualifier_value),c0231953_lung_volume,c0149576_structure_of_posterior_cerebral_artery,c0042029_urinary_tract_infection
337,"c0179804_catheter,_foley",c0149721_left_ventricular_wall_hypertrophy,c0205124_superficial,c0232338_blood_flow,c0149651_clubbing,c0042034_urination
338,c0184511_improved,c0149745_mouth_ulcer,c0205129_sagittal,c0232466_poor_feeding,c0149651_clubbing_of_fingers_and_toes,c0042036_urine
339,c0184625_normal_diet,c0150270_medication_management,c0205131_axial,c0232695_decreased_bowel_sounds,c0149871_deep_vein_thrombosis,c0042149_uterus
340,c0184661_interventional_procedure,c0150411_analysis_of_arterial_blood_gases_and_ph,c0205150_hilar,c0232695_hypoactive_bowel_sounds,c0149871_deep_venous_thrombosis,c0042313_vancomycin
341,c0184666_hospital_admission,c0151514_atrophic_skin,c0205178_acute,c0233426_personal_appearance,c0151583_abnormality_of_the_cerebrospinal_fluid,c0042345_varicosity
342,c0184898_surgical_incisions,c0151539_increased_blood_urea_nitrogen,c0205178_acute_onset,c0233565_slow_movements,c0151603_anasarca,c0042384_vasculitis
343,c0185003_reparative_closure,c0151632_high_esr,c0205180_anicteric,c0234146_areflexia,c0151611_eeg_abnormality,c0042449_veins
344,c0185098_bypass_graft,c0151699_intracranial_hemorrhage,c0205191_chronic,c0234402_stimulus,c0151699_intracranial_hemorrhage,c0042459_superior_vena_cava_structure
345,c0185188_fasciotomy,c0151740_intracranial_pressure_elevation,c0205195_combined,c0234422_awake,c0151740_intracranial_pressure_elevation,c0042487_venous_thrombosis
346,c0199168_medical_service,c0151746_kidney_function_issue,c0205210_clinical,c0234518_slurred_speech,c0151908_dry_skin,c0042523_verapamil
347,c0199962_transfusion_of_packed_red_blood_cells,c0151908_dry_skin,c0205214_common_(qualifier_value),c0234621_visual,c0152054_therapeutic_tactile_stimulation,c0042849_vitamin_b_complex
348,c0200949_blood_culture,c0152252_iridocorneal_synechia,c0205231_extensive,c0235896_pulmonic_infiltration,c0152060_transection_(procedure),c0042866_vitamin_d
349,c0205054_hepatic,c0155626_acute_myocardial_infarction,c0205246_generalized,c0237753_numbers,c0152279_lateral_ventricle_structure,c0042878_vitamin_k
350,c0205064_cervical,c0158784_accessory_skeletal_muscle,c0205263_induce_(action),c0239043_difficulty_chewing,c0152424_common_ventricle,c0043047_water
351,c0205081_moderate,c0162577_angioplasty,c0205272_regular,c0240962_scleral_icterus,c0155773_blood_clot_in_portal_vein,c0043084_weaning
352,c0205082_severe,c0162800_dietary_potassium,c0205292_multifocal,c0241889_family_history,c0155773_portal_vein_thrombosis,c0043250_injury_wounds
353,c0205090_right,c0162859_common_carotid_artery,c0205307_normal,c0242664_husband,c0159060_abnormal_bowel_sounds,c0055003_cefepime
354,c0205091_left,c0162871_abdominal_aortic_aneurysm,c0205315_oblique,c0242665_wife,c0162429_malnutrition,c0057144_daptomycin
355,c0205092_unilateral,"c0162871_aortic_aneurysm,_abdominal",c0205329_progressive,c0250482_zosyn,c0162578_thrombectomy,c0066005_meropenem
356,c0205095_dorsal,c0175668_secondary_to,c0205329_worsens_with_time,c0262374_anal_stenosis,c0162859_common_carotid_artery,c0079304_esophagogastroduodenoscopy
357,c0205099_central,c0175906_cardiologists,c0205341_repeat,c0262469_embolic_stroke,c0175566_open,c0085584_encephalopathies
358,c0205102_internal,c0178499_base,c0205360_stable,c0262655_urinary_infection,c0175668_secondary_to,c0085584_encephalopathy
359,c0205107_proximal,c0178638_folate,c0205360_stable_status,c0262926_medical_history,c0176751_percutaneous_endoscopic_gastrostomy,c0085590_catheter_device
360,c0205108_distal,c0179790_pulmonary_artery_flotation_catheter,c0205379_visible,c0264995_arterial_occlusion,c0178499_base,c0085593_chills
361,c0205117_adjacent,c0181620_hoist_device,c0205396_identified,c0266037_conoid_tooth,c0178587_density,c0085605_hepatic_failure
362,c0205124_superficial,c0182537_pump_(device),c0205402_prominent,c0266470_hypoplastic_cerebellum,c0178602_dosage,c0085605_liver_failure
363,c0205195_combined,c0185115_extraction,c0205409_isolated,c0270629_epidural_abscess,c0178638_folate,c0085633_emotional_instability
